word,lists,seen_tokens,seen_articles,last_seen
competitive,NGSL,0,0,
competitor,NGSL,0,0,
complain,NGSL,0,0,
complaint,NGSL,0,0,
complement,NAWL,0,0,
complete,NGSL,0,0,
completely,NGSL;Spoken,0,0,
complex,NGSL,0,0,
complexity,NGSL,0,0,
complicate,NGSL,0,0,
complication,NAWL,0,0,
comply,NAWL,0,0,
component,NGSL,0,0,
compose,NGSL,0,0,
composer,NAWL,0,0,
composite,NAWL,0,0,
composition,NGSL,0,0,
compound,NGSL,0,0,
comprehension,NAWL,0,0,
comprehensive,NGSL,0,0,
comprise,NGSL,0,0,
compromise,NGSL,0,0,
computation,NAWL,0,0,
compute,NGSL,0,0,
computer,NGSL;Spoken,0,0,
conceive,NAWL,0,0,
concentrate,NGSL,0,0,
concentration,NGSL,0,0,
concept,NGSL,0,0,
conception,NAWL,0,0,
conceptual,NAWL,0,0,
concern,NGSL;Spoken,0,0,
concert,NGSL,0,0,
conclude,NGSL,0,0,
conclusion,NGSL,0,0,
concrete,NGSL,0,0,
condition,NGSL,0,0,
conditional,NAWL,0,0,
conduct,NGSL,0,0,
conduction,NAWL,0,0,
cone,NAWL,0,0,
conference,NGSL,1,1,2025-11-09T08:55:46+00:00
confidence,NGSL,0,0,
confident,NGSL,0,0,
configuration,NAWL,0,0,
confine,NAWL,0,0,
confirm,NGSL,0,0,
conflict,NGSL,0,0,
confound,NAWL,0,0,
confuse,NGSL,0,0,
confusion,NGSL,0,0,
congruent,NAWL,0,0,
connect,NGSL,0,0,
connection,NGSL,0,0,
connector,NAWL,0,0,
connotation,NAWL,0,0,
conscious,NAWL,0,0,
consciousness,NAWL,0,0,
consensus,NAWL,0,0,
consent,NAWL,0,0,
consequence,NGSL,0,0,
consequently,NGSL,0,0,
conservation,NAWL,0,0,
conservative,NGSL,0,0,
conserve,NAWL,0,0,
consider,NGSL;Spoken,0,0,
considerable,NGSL,0,0,
consideration,NGSL,0,0,
consist,NGSL,0,0,
consistent,NGSL,0,0,
consonant,NAWL,0,0,
constant,NGSL,0,0,
constantly,NGSL,0,0,
constitute,NGSL,0,0,
constitution,NAWL,0,0,
constrain,NAWL,0,0,
constraint,NGSL,0,0,
construct,NGSL,0,0,
construction,NGSL,0,0,
consult,NGSL,0,0,
consultant,NGSL,0,0,
consultation,NAWL,0,0,
consume,NGSL,0,0,
consumer,NGSL,0,0,
consumption,NAWL,0,0,
contact,NGSL;Spoken,0,0,
contain,NGSL,0,0,
container,NAWL,0,0,
contemporary,NGSL,0,0,
content,NGSL,0,0,
contest,NGSL,0,0,
context,NGSL,0,0,
continent,NAWL,0,0,
continue,NGSL;Spoken,0,0,
continuity,NAWL,0,0,
continuous,NGSL,0,0,
contour,NAWL,0,0,
contract,NGSL,0,0,
contradict,NAWL,0,0,
contradiction,NAWL,0,0,
contradictory,NAWL,0,0,
contrary,NAWL,0,0,
contrast,NGSL,0,0,
contribute,NGSL,0,0,
contribution,NGSL,0,0,
control,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
controversial,NGSL,0,0,
controversy,NAWL,0,0,
convention,NGSL,0,0,
conventional,NGSL,0,0,
converge,NAWL,0,0,
convergence,NAWL,0,0,
conversation,NGSL;Spoken,0,0,
convert,NGSL,0,0,
convince,NGSL,0,0,
cook,NGSL,0,0,
cool,NGSL;Spoken,0,0,
cooperation,NGSL,0,0,
coordinate,NAWL,0,0,
coordination,NAWL,0,0,
cope,NGSL,0,0,
copy,NGSL;Spoken,0,0,
cord,NAWL,0,0,
core,NGSL,0,0,
corner,NGSL,0,0,
coronary,NAWL,0,0,
corporate,NGSL,0,0,
corporation,NGSL,0,0,
corpus,NAWL,0,0,
correct,NGSL;Spoken,0,0,
correction,NAWL,0,0,
correctly,NAWL,0,0,
correlate,NAWL,0,0,
correlation,NAWL,0,0,
correspond,NGSL,0,0,
correspondence,NAWL,0,0,
corruption,NAWL,0,0,
cortex,NAWL,0,0,
cost,NGSL;Spoken,0,0,
cough,NGSL;Spoken,0,0,
could,NGSL;Spoken,0,0,
council,NGSL;Spoken,0,0,
counsel,NGSL,0,0,
count,NGSL,0,0,
counter,NGSL,0,0,
country,NGSL;Spoken,0,0,
county,NGSL,0,0,
couple,NGSL;Spoken,0,0,
course,NGSL;Spoken,0,0,
court,NGSL,0,0,
cousin,NGSL,0,0,
cover,NGSL;Spoken,0,0,
coverage,NGSL,0,0,
cow,NGSL,0,0,
crack,NGSL,0,0,
craft,NGSL,0,0,
crash,NGSL,0,0,
crazy,NGSL,0,0,
cream,NGSL,0,0,
create,NGSL;Spoken,0,0,
creation,NGSL,0,0,
creative,NGSL,0,0,
creature,NGSL,0,0,
credibility,NAWL,0,0,
credit,NGSL,0,0,
crew,NGSL,0,0,
crime,NGSL,0,0,
criminal,NGSL,0,0,
crisis,NGSL,0,0,
criteria,NGSL,0,0,
critic,NGSL,0,0,
critical,NGSL,0,0,
critically,NAWL,0,0,
criticism,NGSL,0,0,
criticize,NGSL,0,0,
critique,NAWL,0,0,
crop,NGSL,0,0,
cross,NGSL,0,0,
crowd,NGSL,0,0,
crucial,NGSL,0,0,
crude,NAWL,0,0,
cry,NGSL,0,0,
crystal,NAWL,0,0,
cue,NAWL,0,0,
cultural,NGSL,0,0,
culture,NGSL,0,0,
cup,NGSL,0,0,
cure,NAWL,0,0,
curious,NGSL,0,0,
currency,NGSL,0,0,
current,NGSL,0,0,
currently,NGSL,0,0,
curriculum,NAWL,0,0,
curtain,NGSL,0,0,
curve,NGSL,0,0,
custom,NGSL,0,0,
customer,NGSL,0,0,
cut,NGSL;Spoken,0,0,
cycle,NGSL,0,0,
cyclic,NAWL,0,0,
cylinder,NAWL,0,0,
dad,NGSL;Spoken,0,0,
daily,NGSL,0,0,
damage,NGSL,0,0,
damn,NGSL,0,0,
damp,NAWL,0,0,
dance,NGSL,0,0,
danger,NGSL,0,0,
dangerous,NGSL,0,0,
dare,NGSL,0,0,
dark,NGSL,0,0,
darkness,NGSL,0,0,
data,NGSL,0,0,
database,NGSL,0,0,
date,NGSL;Spoken,0,0,
daughter,NGSL,0,0,
day,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
dead,NGSL,0,0,
deadline,NAWL,0,0,
deal,NGSL;Spoken,0,0,
dealer,NGSL,0,0,
dear,NGSL;Spoken,0,0,
death,NGSL,0,0,
debate,NGSL,0,0,
debt,NGSL,0,0,
decade,NGSL,0,0,
decay,NAWL,0,0,
deceive,NAWL,0,0,
decide,NGSL;Spoken,0,0,
decision,NGSL;Spoken,0,0,
declare,NGSL,0,0,
decline,NGSL,0,0,
decrease,NGSL,0,0,
dedicate,NGSL,0,0,
deep,NGSL,0,0,
deeply,NGSL,0,0,
defeat,NGSL,0,0,
defect,NAWL,0,0,
defend,NGSL,0,0,
defense,NGSL,0,0,
deficiency,NAWL,0,0,
deficit,NGSL,0,0,
define,NGSL,0,0,
definite,NAWL,0,0,
definitely,NGSL;Spoken,0,0,
definition,NGSL,0,0,
deflection,NAWL,0,0,
degrade,NAWL,0,0,
degree,NGSL;Spoken,0,0,
delay,NGSL,0,0,
deliberately,NAWL,0,0,
delight,NGSL,0,0,
deliver,NGSL,0,0,
delivery,NGSL,0,0,
delta,NAWL,0,0,
demand,NGSL,0,0,
democracy,NGSL,0,0,
democratic,NGSL,1,1,2025-11-09T08:55:46+00:00
demonstrate,NGSL,0,0,
demonstration,NGSL,0,0,
demonstrator,NAWL,0,0,
denominator,NAWL,0,0,
denote,NAWL,0,0,
dense,NAWL,0,0,
density,NGSL,0,0,
deny,NGSL,0,0,
department,NGSL,0,0,
depend,NGSL;Spoken,0,0,
dependence,NAWL,0,0,
dependent,NGSL,0,0,
depict,NAWL,0,0,
deposit,NGSL,0,0,
depress,NGSL,0,0,
depression,NGSL,0,0,
depth,NGSL,0,0,
derivative,NAWL,0,0,
derive,NGSL,0,0,
descendent,NAWL,0,0,
describe,NGSL,0,0,
description,NGSL,0,0,
descriptor,NAWL,0,0,
desert,NGSL,0,0,
deserve,NGSL,0,0,
design,NGSL,0,0,
designer,NGSL,0,0,
desire,NGSL,0,0,
desk,NGSL,0,0,
despite,NGSL,0,0,
destination,NAWL,0,0,
destroy,NGSL,0,0,
destruction,NGSL,0,0,
detail,NGSL;Spoken,0,0,
detect,NGSL,0,0,
detection,NAWL,0,0,
determination,NGSL,0,0,
determine,NGSL,0,0,
develop,NGSL;Spoken,0,0,
development,NGSL;Spoken,0,0,
developmental,NAWL,0,0,
deviation,NAWL,0,0,
device,NGSL,0,0,
devote,NGSL,0,0,
diagnose,NAWL,0,0,
diagnosis,NAWL,0,0,
diagnostic,NAWL,0,0,
diagram,NAWL,0,0,
dialect,NAWL,0,0,
dialog,NGSL,0,0,
diameter,NAWL,0,0,
diary,NAWL,0,0,
dictate,NAWL,0,0,
